S.No.,CITY 1,CITY 2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2","FREIGHT TO CITY 2","FREIGHT FROM CITY 2","MAIL TO CITY 2","MAIL FROM CITY 2"
171,MUMBAI,Sindhudurg Airport,"1,751","1,715",0.0,0.0,0.0,0.0
172,KOZHIKODE,MUMBAI,"7,474","6,834",0.3,9.1,0.0,2.0
173,KOLKATA,LILABARI,887,984,1.6,0.1,0.0,0.0
174,KOLKATA,LUCKNOW,"8,464","8,082",39.9,27.3,8.4,3.2
175,KOLKATA,MANGALORE,367,422,0.1,1.0,0.0,0.8
176,KOLKATA,MUMBAI,"66,975","61,784",545.4,601.0,17.4,36.5
177,KOLKATA,NAGPUR,"3,559","3,396",5.3,5.1,0.1,0.0
178,KOLKATA,PASIGHAT,-,41,-,0.0,-,0.0
179,KOLKATA,PATNA,"8,147","9,525",20.6,14.3,9.2,10.0
180,KOLKATA,PORT BLAIR,"14,751","12,117",127.5,47.2,9.4,3.2
181,KOLKATA,PUNE,"12,128","11,515",94.6,111.4,0.2,3.0
182,KOLKATA,RAIPUR,"8,490","8,404",12.4,0.6,0.4,4.5
183,KOLKATA,RANCHI,"5,627","5,613",2.0,0.2,0.1,0.6
184,KOLKATA,RUPSI,"1,024","1,207",0.0,0.0,0.0,0.0
185,KOLKATA,SHILLONG,"1,621","1,434",0.1,0.0,0.0,0.0
186,KOLKATA,SILCHAR,"7,897","8,891",75.0,0.2,1.4,0.0
187,KOLKATA,SRINAGAR,"1,179","1,146",0.3,0.0,0.0,0.0
188,KOLKATA,SURAT,"5,860","5,088",12.7,46.9,0.0,0.0
189,KOLKATA,TEZPUR,-,266,-,0.0,-,0.0
190,KOLKATA,TRIVANDRUM,687,390,1.8,0.0,0.0,0.0
191,KOLKATA,UDAIPUR,623,360,0.0,0.0,0.0,0.0
192,KOLKATA,VARANASI,"4,047","5,079",5.7,7.5,0.5,0.9
193,KOLKATA,VISAKHAPATNAM,"4,639","4,670",1.5,40.1,0.0,0.0
194,KADAPA,VIJAYAWADA,229,200,0.0,0.0,0.0,0.0
195,KADAPA,VISAKHAPATNAM,571,533,0.0,0.0,0.0,0.0
196,COIMBATORE,DELHI,"15,258","15,250",145.0,149.8,0.0,2.7
197,COIMBATORE,GUWAHATI,436,202,0.1,0.0,0.0,0.0
198,COIMBATORE,HYDERABAD,"17,608","17,293",27.6,10.8,0.0,0.6
199,COIMBATORE,JAIPUR,525,394,0.7,1.1,0.0,0.0
200,COIMBATORE,KOCHI,187,-,0.0,-,0.0,-
201,COIMBATORE,MUMBAI,"18,954","17,907",162.7,158.7,6.1,7.3
202,COIMBATORE,PUNE,-,165,-,0.1,-,0.0
203,COIMBATORE,SURAT,712,707,0.2,0.4,0.0,0.0
204,COIMBATORE,TIRUPATI,379,602,0.0,0.0,0.0,0.0
205,COIMBATORE,VISAKHAPATNAM,-,332,-,0.0,-,0.0
206,KANNUR,KOCHI,"2,055","1,954",0.0,0.0,0.0,0.0
207,KANNUR,KOZHIKODE,12,106,0.0,0.0,0.0,0.0
208,KANNUR,MUMBAI,"5,161","5,871",1.6,1.9,0.0,0.0
209,KANNUR,TRIVANDRUM,"1,764","1,904",0.0,0.0,0.0,0.0
210,KOCHI,KOLKATA,"2,331","3,040",9.2,12.6,0.3,0.4
211,KOCHI,MUMBAI,"34,126","30,239",64.1,233.8,10.6,20.7
212,KOCHI,MYSORE,879,858,0.0,0.6,0.0,0.0
213,KOCHI,PUNE,"4,622","4,450",8.6,19.7,0.0,0.7
214,KOCHI,RANCHI,324,254,0.0,0.0,0.0,0.0
215,KOCHI,TRIVANDRUM,"2,044","2,033",0.0,0.0,0.0,0.0
216,DARBHANGA,DELHI,"5,685","5,373",22.0,10.3,0.0,0.0
217,DARBHANGA,HYDERABAD,"4,253","3,240",0.0,0.2,0.0,0.0
218,DARBHANGA,KOLKATA,"2,109","1,561",0.0,0.3,0.0,0.0
219,DARBHANGA,MUMBAI,"4,741","4,064",8.7,39.3,0.0,0.0
220,DEHRA DUN,DELHI,"23,228","22,676",2.1,10.5,0.7,9.9
221,DEHRA DUN,GUWAHATI,564,69,0.0,0.0,0.0,0.0
222,DEHRA DUN,HYDERABAD,"3,648","3,600",1.1,3.0,0.0,0.0
223,DEHRA DUN,JAIPUR,"2,821","2,038",0.0,0.0,0.0,0.0
224,DEHRA DUN,KOLKATA,"1,478","1,419",0.1,1.1,0.0,0.0
225,DEHRA DUN,LUCKNOW,"2,968","3,404",0.1,0.0,0.1,0.9
226,DEHRA DUN,MUMBAI,"9,664","11,222",1.7,14.0,0.1,2.9
227,DEHRA DUN,PANTNAGAR,723,790,0.0,0.0,0.0,0.0
228,DEHRA DUN,PUNE,962,"1,053",0.5,1.2,0.0,0.4
229,DEHRA DUN,VARANASI,906,991,0.7,0.8,0.0,0.0
230,DELHI,DHARAMSALA,"5,520","4,636",0.0,0.0,0.0,0.0
231,DELHI,DIBRUGARH,"8,763","8,464",19.7,5.4,2.6,3.6
232,DELHI,DIMAPUR,"2,616","2,788",2.4,10.5,0.0,3.1
233,DELHI,DURGAPUR,"4,253","5,029",1.0,0.0,0.0,0.0
234,DELHI,GAYA,"3,354","3,682",0.1,0.0,0.0,0.0
235,DELHI,GORAKHPUR,"10,064","11,456",8.8,0.0,15.3,0.0
236,DELHI,GUWAHATI,"54,259","55,521",476.7,116.2,32.7,15.7
237,DELHI,GWALIOR,"2,100","2,332",0.7,0.0,0.0,0.0
238,DELHI,HYDERABAD,"106,809","115,518",908.3,448.0,16.2,13.2
239,DELHI,IMPHAL,"8,387","8,707",88.8,59.7,4.1,0.2
240,DELHI,INDORE,"27,288","26,879",181.4,137.3,8.4,7.2
241,DELHI,JABALPUR,"6,185","6,001",6.9,5.6,0.0,0.0
242,DELHI,JAGDALPUR,260,329,0.0,0.0,0.0,0.0
243,DELHI,JAIPUR,"25,107","22,015",28.4,64.6,22.2,18.4
244,DELHI,JAMMU,"31,175","33,611",46.6,21.9,0.5,0.0
245,DELHI,JHARSUGUDA,"3,076","3,090",5.7,0.0,0.0,0.0
246,DELHI,JODHPUR,"7,778","7,676",1.9,4.9,0.5,0.0
247,DELHI,JORHAT,690,673,0.1,0.0,0.0,0.0
248,DELHI,KANDLA,"1,195","1,105",0.2,0.0,0.0,0.0
249,DELHI,KANNUR,"1,111","1,579",0.4,0.0,0.0,0.0
250,DELHI,KANPUR,"1,636","1,720",0.4,0.0,0.0,0.0
251,DELHI,KHAJURAHO,470,498,0.0,0.0,0.0,0.0
252,DELHI,KOCHI,"35,341","34,905",481.7,120.2,15.0,10.3
253,DELHI,KOLKATA,"99,209","101,324","1,645.6","1,725.4",42.0,33.9
254,DELHI,KOZHIKODE,"8,155","8,418",28.4,1.8,2.0,0.0
255,DELHI,KULLU,846,279,0.0,0.0,0.0,0.0
256,DELHI,LEH,"52,647","54,785",93.2,15.6,3.6,0.0
257,DELHI,LUCKNOW,"49,217","54,186",145.8,90.5,42.6,15.8
258,DELHI,MADURAI,"3,323","3,234",17.4,40.5,0.3,0.0
259,DELHI,MANGALORE,"2,215","1,826",2.1,0.0,0.0,19.8
260,DELHI,MUMBAI,"213,319","203,888","2,735.3","2,491.9",11.6,73.4
261,DELHI,NAGPUR,"19,821","19,341",227.1,69.7,10.6,6.4
262,DELHI,NASIK,"3,389","3,364",6.2,0.0,0.0,0.0
263,DELHI,PANTNAGAR,"1,764","1,956",0.1,0.0,0.0,0.0
264,DELHI,PATHANKOT,604,592,0.0,0.0,0.0,0.0
265,DELHI,PATNA,"58,530","59,931",424.6,82.3,30.2,21.0
266,DELHI,PORBANDAR,92,102,0.0,0.0,0.0,0.0
267,DELHI,PORT BLAIR,"3,924","3,463",36.7,37.2,0.0,0.0
268,DELHI,PUNE,"101,115","94,019","1,207.2",796.5,4.2,4.5
269,DELHI,RAIPUR,"27,319","27,588",189.6,29.2,11.3,7.3
270,DELHI,RAJKOT,"12,236","12,378",15.6,25.3,0.0,0.0
271,DELHI,RANCHI,"30,669","31,540",197.7,66.6,21.5,10.6
272,DELHI,SHIRDI,"10,005","9,586",59.4,11.4,0.2,0.0
273,DELHI,SILCHAR,"1,974","2,011",0.3,0.0,0.0,0.0
274,DELHI,SRINAGAR,"97,144","106,229",517.9,142.0,11.4,29.8
275,DELHI,SURAT,"18,063","17,627",91.5,55.8,3.6,0.0
276,DELHI,TIRUCHIRAPALLY,"1,222",999,0.1,0.2,0.0,0.0
277,DELHI,TIRUPATI,"3,154","2,397",1.7,0.0,0.0,0.0
278,DELHI,TRIVANDRUM,"9,628","9,865",44.8,3.1,0.0,3.3
279,DELHI,UDAIPUR,"16,458","17,177",3.7,21.8,0.2,0.0
280,DELHI,VADODARA,"15,517","15,781",40.9,41.4,1.0,2.8
281,DELHI,VARANASI,"23,877","24,438",56.5,34.8,15.8,1.9
282,DELHI,VIJAYAWADA,"9,154","10,112",78.9,1.8,0.0,0.0
283,DELHI,VISAKHAPATNAM,"16,718","19,139",100.6,33.1,2.5,0.0
284,DELHI,Kushinagar International Airport,613,754,0.0,0.0,0.0,0.0
285,DHARAMSALA,JAIPUR,-,65,-,0.0,-,0.0
286,DIBRUGARH,DIMAPUR,119,54,0.0,0.0,0.0,0.0
287,DIBRUGARH,GUWAHATI,"1,817","1,251",0.3,0.0,0.0,3.8
288,DABOLIM,VARANASI,12,-,0.0,-,0.0,-
289,DIBRUGARH,IMPHAL,685,841,0.0,0.0,0.0,0.0
290,DIBRUGARH,KOLKATA,"9,963","8,966",40.8,29.2,3.8,6.8
291,DIBRUGARH,MUMBAI,325,612,0.2,1.0,0.0,0.0
292,DIBRUGARH,SHILLONG,169,189,0.0,0.0,0.0,0.0
293,DIU,MUMBAI,"1,855","1,697",0.0,0.0,0.0,0.0
294,DIMAPUR,GUWAHATI,943,780,0.0,0.7,0.0,0.0
295,DIMAPUR,IMPHAL,"1,029","1,131",5.1,0.1,0.0,0.0
296,DIMAPUR,KOLKATA,"5,570","4,405",7.2,69.9,10.5,5.3
297,DIMAPUR,MUMBAI,116,153,0.2,0.0,0.0,0.0
298,DIMAPUR,SHILLONG,255,364,0.0,0.0,0.0,0.0
299,GUWAHATI,HYDERABAD,"5,795","5,275",3.4,27.4,2.3,4.6
300,GUWAHATI,IMPHAL,"15,361","17,775",46.0,32.6,5.5,3.8
301,GUWAHATI,JAIPUR,"4,441","4,492",15.3,37.5,0.0,0.8
302,GUWAHATI,JODHPUR,105,129,0.0,0.0,0.0,0.0
303,GUWAHATI,JORHAT,"1,424","1,804",0.1,0.0,0.0,0.0
304,GUWAHATI,KOLKATA,"30,058","31,486",75.8,234.9,11.4,33.3
305,GUWAHATI,LUCKNOW,"3,353","2,443",0.8,1.9,0.0,0.0
306,GUWAHATI,MUMBAI,"13,451","10,591",75.4,152.0,1.8,8.8
307,GUWAHATI,PASIGHAT,411,416,0.0,0.0,0.0,0.0
308,GUWAHATI,PATNA,"3,905","4,447",0.4,1.1,0.0,0.5
309,GUWAHATI,PUNE,-,156,-,0.6,-,0.0
310,GUWAHATI,RUPSI,736,611,0.0,0.0,0.0,0.0
311,GUWAHATI,SHILLONG,127,55,0.0,0.0,0.0,0.0
312,GUWAHATI,SILCHAR,"2,953","3,291",7.7,0.0,2.3,0.0
