S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
352,HYDERABAD,JABALPUR,21,21,42
353,HYDERABAD,JAGDALPUR,13,13,26
354,HYDERABAD,JAIPUR,186,166,352
355,HYDERABAD,JAMMU,5,1,6
356,HYDERABAD,JAMNAGAR,5,5,10
357,HYDERABAD,JODHPUR,22,22,44
358,HYDERABAD,KADAPA,14,15,29
359,HYDERABAD,KANNUR,18,20,38
360,HYDERABAD,KOCHI,189,194,383
361,HYDERABAD,KOLHAPUR,24,22,46
362,HYDERABAD,KOLKATA,411,359,770
363,HYDERABAD,KOZHIKODE,19,19,38
364,HYDERABAD,LUCKNOW,105,98,203
366,HYDERABAD,MADURAI,49,46,95
367,HYDERABAD,MANGALORE,40,41,81
368,HYDERABAD,MUMBAI,608,666,1274
369,HYDERABAD,MYSORE,29,26,55
370,HYDERABAD,NAGPUR,23,23,46
371,HYDERABAD,NASIK,18,20,38
372,HYDERABAD,PATNA,129,74,203
373,HYDERABAD,PONDICHERRY,20,19,39
374,HYDERABAD,PUNE,170,204,374
376,HYDERABAD,RAIPUR,91,84,175
377,HYDERABAD,RAJAHMUNDRY,98,94,192
378,HYDERABAD,RANCHI,62,56,118
379,HYDERABAD,SHIRDI,63,73,136
381,HYDERABAD,SRINAGAR,40,35,75
382,HYDERABAD,SURAT,43,49,92
383,HYDERABAD,TIRUCHIRAPALLY,33,36,69
384,HYDERABAD,TIRUPATI,188,191,379
385,HYDERABAD,TRIVANDRUM,57,58,115
386,HYDERABAD,UDAIPUR,26,25,51
387,HYDERABAD,VADODARA,54,58,112
388,HYDERABAD,VARANASI,101,96,197
389,HYDERABAD,VIJAYAWADA,104,94,198
390,HYDERABAD,VISAKHAPATNAM,251,247,498
391,INDORE,JABALPUR,18,17,35
392,INDORE,JAIPUR,20,20,40
393,INDORE,JAMMU,17,19,36
394,INDORE,KOLKATA,42,36,78
395,GUWAHATI,LILABARI,1,1,2
396,INDORE,LUCKNOW,20,19,39
397,INDORE,MUMBAI,183,209,392
398,INDORE,NAGPUR,20,20,40
399,INDORE,PUNE,40,40,80
400,INDORE,RAIPUR,45,43,88
401,IMPHAL,KOLKATA,138,139,277
402,IMPHAL,MUMBAI,5,5,10
403,IMPHAL,SHILLONG,7,7,14
404,NASIK,PUNE,8,9,17
405,AGARTALA,AHMEDABAD,6,4,10
406,AGARTALA,AIZAWL,6,6,12
407,AGARTALA,BENGALURU,49,43,92
408,AGARTALA,CHENNAI,19,9,28
409,GWALIOR,JABALPUR,1,1,2
410,AGARTALA,DELHI,50,46,96
411,AGARTALA,DIBRUGARH,14,14,28
412,AGARTALA,GUWAHATI,68,66,134
413,AGARTALA,IMPHAL,17,17,34
414,AGARTALA,KOLKATA,359,301,660
415,AGARTALA,SHILLONG,7,6,13
416,BAGDOGRA,BENGALURU,141,150,291
417,BAGDOGRA,CHENNAI,46,47,93
418,BAGDOGRA,DELHI,403,463,866
419,BAGDOGRA,DIBRUGARH,29,28,57
420,BAGDOGRA,HYDERABAD,48,48,96
421,BAGDOGRA,KOLKATA,297,281,578
422,BAGDOGRA,MUMBAI,90,98,188
423,CHANDIGARH,CHENNAI,48,55,103
424,CHANDIGARH,DABOLIM,64,68,132
425,CHANDIGARH,DEHRA DUN,1,1,2
426,CHANDIGARH,DELHI,277,293,570
427,CHANDIGARH,DHARAMSALA,11,13,24
428,HYDERABAD,KANPUR,1,1,2
429,CHANDIGARH,GUWAHATI,9,8,17
430,CHANDIGARH,HYDERABAD,93,108,201
431,CHANDIGARH,JAIPUR,36,33,69
432,CHANDIGARH,KOLKATA,33,37,70
433,CHANDIGARH,KULLU,3,2,5
434,CHANDIGARH,LEH,6,11,17
435,CHANDIGARH,LUCKNOW,33,36,69
436,CHANDIGARH,MUMBAI,258,323,581
437,CHANDIGARH,PATNA,36,32,68
438,CHANDIGARH,PUNE,53,53,106
439,CHANDIGARH,SRINAGAR,102,104,206
441,ALLAHABAD,BENGALURU,39,41,80
442,HYDERABAD,PORT BLAIR,3,4,7
443,ALLAHABAD,BHOPAL,6,9,15
444,ALLAHABAD,BHUBANESWAR,18,19,37
445,ALLAHABAD,BILASPUR,5,5,10
446,ALLAHABAD,DEHRA DUN,14,18,32
447,ALLAHABAD,DELHI,48,58,106
448,ALLAHABAD,GORAKHPUR,14,6,20
449,ALLAHABAD,INDORE,15,18,33
450,ALLAHABAD,LUCKNOW,10,10,20
451,ALLAHABAD,MUMBAI,28,35,63
452,ALLAHABAD,PUNE,15,18,33
453,ALLAHABAD,RAIPUR,16,16,32
454,MANGALORE,MUMBAI,206,225,431
455,MANGALORE,PUNE,9,13,22
456,HYDERABAD,VIDYANAGAR,1,1,2
457,BELGAUM,BENGALURU,20,20,40
458,BELGAUM,DELHI,24,23,47
459,BELGAUM,HYDERABAD,35,32,67
460,BELGAUM,INDORE,3,3,6
461,BELGAUM,JODHPUR,4,4,8
462,IMPHAL,TEZU,10,10,20
463,BELGAUM,MUMBAI,26,27,53
464,BELGAUM,NAGPUR,3,3,6
465,BELGAUM,NASIK,4,4,8
466,INDORE,JODHPUR,15,18,33
467,BELGAUM,PUNE,6,7,13
468,BELGAUM,SURAT,3,3,6
469,BELGAUM,TIRUPATI,3,3,6
470,JAMMU,LEH,17,23,40
471,JAMMU,MUMBAI,12,62,74
472,JAMMU,SRINAGAR,159,162,321
474,LEH,SRINAGAR,55,9,64
475,MADURAI,MUMBAI,56,65,121
476,MADURAI,TIRUPATI,11,11,22
477,JAIPUR,JAISALMER,1,1,2
478,MADURAI,VIJAYAWADA,2,2,4
479,PASIGHAT,TEZPUR,1,1,2
480,AURANGABAD,DELHI,74,60,134
481,AURANGABAD,HYDERABAD,23,20,43
482,AURANGABAD,MUMBAI,74,73,147
483,KANDLA,MUMBAI,21,21,42
484,PORT BLAIR,VISAKHAPATNAM,12,12,24
485,JAIPUR,KOLKATA,140,139,279
486,JAIPUR,LUCKNOW,20,19,39
487,JAISALMER,MUMBAI,4,3,7
488,JAIPUR,MUMBAI,327,409,736
489,JAIPUR,PUNE,100,106,206
490,JAIPUR,SURAT,30,37,67
491,JAIPUR,UDAIPUR,27,21,48
492,JAIPUR,VADODARA,2,2,4
493,JAIPUR,VARANASI,6,5,11
494,JODHPUR,KOLKATA,18,17,35
495,JODHPUR,MUMBAI,79,85,164
496,JAMNAGAR,MUMBAI,42,46,88
497,JAGDALPUR,RAIPUR,12,11,23
498,JABALPUR,MUMBAI,29,29,58
499,JABALPUR,PUNE,16,19,35
500,JHARSUGUDA,KOLKATA,12,12,24
501,JHARSUGUDA,RAIPUR,9,7,16
502,JORHAT,KOLKATA,36,36,72
503,KURNOOL,VISAKHAPATNAM,6,6,12
504,KESHOD,MUMBAI,7,7,14
505,KOLHAPUR,TIRUPATI,13,16,29
506,KOCHI,LUCKNOW,1,1,2
507,KANPUR,MUMBAI,43,62,105
508,KOCHI,NAGPUR,1,1,2
509,KOCHI,PATNA,1,1,2
511,AJMER,INDORE,2,3,5
513,KOLHAPUR,MUMBAI,4,3,7
514,AJMER,SURAT,3,4,7
515,LUCKNOW,MUMBAI,223,328,551
516,LUCKNOW,NAGPUR,19,21,40
517,LUCKNOW,PANTNAGAR,8,7,15
518,LUCKNOW,PATNA,38,31,69
519,LUCKNOW,PUNE,47,50,97
520,KOLKATA,PAKYONG,6,5,11
521,LUCKNOW,RAIPUR,16,16,32
522,LUCKNOW,RANCHI,35,33,68
523,LUCKNOW,SRINAGAR,8,11,19
525,CHENNAI,COIMBATORE,301,298,599
526,CHENNAI,DABOLIM,47,48,95
527,CHENNAI,DARBHANGA,7,2,9
528,CHENNAI,DEHRA DUN,7,12,19
529,CHENNAI,DELHI,693,665,1358
530,CHENNAI,DIBRUGARH,1,1,2
531,CHENNAI,DURGAPUR,44,43,87
532,CHENNAI,GUWAHATI,97,94,191
533,CHENNAI,HUBLI,17,19,36
534,CHENNAI,HYDERABAD,408,415,823
535,CHENNAI,INDORE,17,16,33
536,CHENNAI,JAIPUR,42,43,85
537,CHENNAI,JODHPUR,48,48,96
538,CHENNAI,KADAPA,3,5,8
540,CHENNAI,KANNUR,15,16,31
541,CHENNAI,KOCHI,187,196,383
542,CHENNAI,KOLKATA,322,295,617
543,CHENNAI,KOZHIKODE,20,20,40
544,CHENNAI,KURNOOL,5,4,9
545,CHENNAI,LUCKNOW,58,42,100
546,CHENNAI,MADURAI,129,125,254
547,CHENNAI,MANGALORE,19,21,40
548,CHENNAI,MUMBAI,828,892,1720
549,CHENNAI,MYSORE,20,20,40
550,CHENNAI,NAGPUR,3,4,7
551,CHENNAI,PATNA,32,31,63
552,CHENNAI,PORT BLAIR,212,215,427
553,CHENNAI,PUNE,163,183,346
555,CHENNAI,RAIPUR,29,27,56
556,CHENNAI,RAJAHMUNDRY,22,24,46
557,CHENNAI,RANCHI,44,45,89
558,CHENNAI,SHIRDI,53,53,106
559,CHENNAI,SRINAGAR,4,5,9
560,CHENNAI,SURAT,36,41,77
561,CHENNAI,TIRUCHIRAPALLY,70,64,134
562,CHENNAI,TRIVANDRUM,112,131,243
563,CHENNAI,TUTICORIN,60,56,116
564,CHENNAI,VARANASI,29,28,57
565,CHENNAI,VIJAYAWADA,33,39,72
566,CHENNAI,VISAKHAPATNAM,86,93,179
567,NAGPUR,PUNE,145,164,309
568,BILASPUR,DELHI,5,5,10
569,BILASPUR,JABALPUR,3,4,7
570,PATNA,PUNE,51,46,97
571,PATNA,RANCHI,31,37,68
573,PUNE,RAIPUR,20,19,39
574,NASIK,TIRUPATI,2,2,4
575,PUNE,RANCHI,47,43,90
576,PUNE,TIRUPATI,6,5,11
579,DURGAPUR,HYDERABAD,31,33,64
580,DURGAPUR,MUMBAI,33,36,69
582,DURGAPUR,TRIVANDRUM,1,2,3
583,PUNE,TRIVANDRUM,31,31,62
584,PUNE,VISAKHAPATNAM,11,7,18
585,RAJAHMUNDRY,TIRUPATI,4,4,8
586,RAJAHMUNDRY,VISAKHAPATNAM,5,4,9
587,RAIPUR,SRINAGAR,6,5,11
590,SHIRDI,TIRUPATI,5,4,9
591,SHILLONG,SILCHAR,3,4,7
592,TIRUPATI,VIJAYAWADA,9,7,16
593,TIRUPATI,VISAKHAPATNAM,14,18,32
594,VARANASI,VISAKHAPATNAM,1,1,2
595,GHAZIABAD,HUBLI,6,7,13
596,GHAZIABAD,"KALABURAGI, KARNATAKA",2,2,4
597,VIJAYAWADA,VISAKHAPATNAM,19,19,38
598,Deoghar Airport,KOLKATA,6,8,14
599,Deoghar Airport,DELHI,33,44,77
600,Zero Airport,DIBRUGARH,1,1,2
