S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
344,HUBLI,HYDERABAD,18,17,35
345,HUBLI,MANGALORE,4,4,8
346,HUBLI,MUMBAI,19,19,38
347,HUBLI,MYSORE,4,3,7
348,HYDERABAD,IMPHAL,3,4,7
349,HYDERABAD,INDORE,98,106,204
350,HYDERABAD,JABALPUR,18,19,37
351,HYDERABAD,JAGDALPUR,12,12,24
352,HYDERABAD,JAIPUR,155,142,297
354,HYDERABAD,JAMNAGAR,5,5,10
355,HYDERABAD,JHARSUGUDA,3,3,6
356,HYDERABAD,JODHPUR,18,17,35
357,HYDERABAD,KADAPA,15,14,29
358,HYDERABAD,KANNUR,18,17,35
359,HYDERABAD,KOCHI,166,144,310
360,HYDERABAD,KOLHAPUR,29,27,56
361,HYDERABAD,KOLKATA,297,289,586
362,HYDERABAD,KOZHIKODE,20,18,38
363,HYDERABAD,LUCKNOW,74,78,152
364,HYDERABAD,MADURAI,47,45,92
365,HYDERABAD,MANGALORE,38,37,75
366,HYDERABAD,MUMBAI,683,596,1279
367,HYDERABAD,MYSORE,29,25,54
368,HYDERABAD,NAGPUR,20,21,41
369,HYDERABAD,NASIK,19,18,37
370,DIU,PUNE,1,1,2
371,HYDERABAD,PATNA,64,72,136
372,HYDERABAD,PONDICHERRY,23,22,45
373,HYDERABAD,PUNE,185,180,365
375,HYDERABAD,RAIPUR,71,78,149
376,HYDERABAD,RAJAHMUNDRY,97,100,197
377,HYDERABAD,RANCHI,41,43,84
378,HYDERABAD,SHIRDI,61,66,127
379,HYDERABAD,SRINAGAR,28,31,59
380,HYDERABAD,SURAT,36,46,82
381,HYDERABAD,TIRUCHIRAPALLY,36,31,67
382,HYDERABAD,TIRUPATI,220,226,446
383,HYDERABAD,TRIVANDRUM,53,46,99
384,HYDERABAD,UDAIPUR,28,30,58
385,HYDERABAD,VADODARA,51,50,101
386,HYDERABAD,VARANASI,83,93,176
387,HYDERABAD,VIJAYAWADA,110,109,219
388,HYDERABAD,VISAKHAPATNAM,287,287,574
389,INDORE,JABALPUR,10,11,21
390,INDORE,JAIPUR,21,20,41
391,INDORE,JAMMU,11,10,21
392,INDORE,KOLKATA,35,30,65
393,INDORE,LUCKNOW,16,19,35
394,INDORE,MUMBAI,225,213,438
395,INDORE,NAGPUR,19,19,38
396,INDORE,PUNE,41,42,83
397,INDORE,RAIPUR,36,31,67
398,IMPHAL,KOLKATA,123,110,233
399,IMPHAL,MUMBAI,5,3,8
400,IMPHAL,SHILLONG,8,8,16
401,NASIK,PUNE,8,8,16
402,AGARTALA,AHMEDABAD,3,4,7
403,AGARTALA,AIZAWL,4,4,8
405,AGARTALA,BENGALURU,45,43,88
406,AGARTALA,CHENNAI,20,17,37
407,AGARTALA,DELHI,45,39,84
408,AGARTALA,DIBRUGARH,10,12,22
409,AGARTALA,GUWAHATI,47,51,98
410,AGARTALA,IMPHAL,10,15,25
