S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
299,SINGAPORE,GUWAHATI,1,1,2
300,SINGAPORE,HYDERABAD,317,294,611
301,SINGAPORE,KOCHI,215,205,420
302,SINGAPORE,KOLKATA,239,243,482
303,SINGAPORE,MADURAI,35,37,72
304,SINGAPORE,MUMBAI,898,836,1734
305,SINGAPORE,PUNE,25,21,46
306,SINGAPORE,TIRUCHIRAPALLY,559,514,1073
307,SINGAPORE,TRIVANDRUM,148,134,282
308,SINGAPORE,VISAKHAPATNAM,89,75,164
309,SOHAR,KOZHIKODE,5,6,11
310,SYDNEY,DELHI,180,198,378
311,TAIPAE,DELHI,1,1,2
312,TASHKENT,DELHI,99,95,194
313,TEHRAN,DELHI,32,29,61
314,TEHRAN,MUMBAI,12,9,21
315,TELAVIV,DELHI,71,75,146
316,TOKYO,DELHI,152,181,333
317,TORONTO,DELHI,498,447,945
318,VANCOUVER,DELHI,251,209,460
319,WARSAW,DELHI,153,131,284
320,"WASHINGTON, DC",DELHI,83,70,153
321,ZURICH,DELHI,170,160,330
322,ZURICH,MUMBAI,162,149,311
