S.No.,CITY 1,CITY 2,AVG FLIGHTS TO CITY 2,AVG FLIGHTS FROM CITY 2,TOTAL AVG FLIGHTS
246,COIMBATORE,KOCHI,3,19,22
247,COIMBATORE,MANGALORE,2,4,6
248,COIMBATORE,MUMBAI,122,126,248
249,DABOLIM,DELHI,648,681,1329
250,DABOLIM,HYDERABAD,270,282,552
251,DABOLIM,INDORE,30,33,63
252,DABOLIM,JAIPUR,12,13,25
253,DABOLIM,KANNUR,4,5,9
254,DABOLIM,KOCHI,19,1,20
255,DABOLIM,KOLKATA,49,53,102
256,DABOLIM,LUCKNOW,16,17,33
257,DABOLIM,MUMBAI,714,718,1432
258,DABOLIM,MYSORE,8,8,16
259,DABOLIM,PUNE,55,55,110
260,DABOLIM,RAIPUR,10,9,19
261,DABOLIM,RAJKOT,13,15,28
262,DABOLIM,SURAT,44,43,87
263,DARBHANGA,DELHI,78,71,149
264,DARBHANGA,HYDERABAD,24,24,48
265,DARBHANGA,KOLKATA,18,17,35
266,DARBHANGA,MUMBAI,43,43,86
267,DEHRA DUN,DELHI,183,187,370
268,DEHRA DUN,LUCKNOW,18,20,38
269,DEHRA DUN,MUMBAI,82,101,183
270,DEHRA DUN,PANTNAGAR,3,3,6
271,DELHI,DHARAMSALA,37,34,71
272,DELHI,DIBRUGARH,75,63,138
273,DELHI,DIMAPUR,20,24,44
274,DELHI,DURGAPUR,15,16,31
275,DELHI,GAYA,19,1,20
276,DELHI,GORAKHPUR,94,92,186
277,DELHI,GUWAHATI,430,457,887
278,DELHI,GWALIOR,5,6,11
279,DELHI,HYDERABAD,710,792,1502
280,DELHI,IMPHAL,58,63,121
281,DELHI,INDORE,230,242,472
282,DELHI,JABALPUR,31,32,63
283,DELHI,JAIPUR,168,143,311
284,DELHI,JAISALMER,33,32,65
285,DELHI,JAMMU,288,283,571
286,DELHI,JHARSUGUDA,29,29,58
287,DELHI,JODHPUR,98,97,195
288,DELHI,JORHAT,5,4,9
289,DELHI,KANDLA,18,18,36
290,DELHI,KANNUR,6,8,14
291,DELHI,KANPUR,16,16,32
292,DELHI,KHAJURAHO,3,3,6
293,DELHI,KOCHI,206,246,452
294,DELHI,KOLKATA,747,793,1540
295,DELHI,KOZHIKODE,57,65,122
296,DELHI,KULLU,7,2,9
