S.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2,MAIL TO CITY 2,MAIL FROM CITY 2,TOTAL AVG FLIGHTS
435,HYDERABAD,NAGPUR,1,1,0.8,0.0,0.0,0.0,2
436,HYDERABAD,PATNA,1,1,54.3,0.9,3.5,1.5,2
437,HYDERABAD,PONDICHERRY,1,1,0.6,0.0,0.0,0.0,2
438,HYDERABAD,PORT BLAIR,1,1,1.2,2.3,0.0,0.0,2
439,HYDERABAD,PUNE,2,2,68.8,32.3,1.0,4.5,4
440,HYDERABAD,RAIPUR,1,1,9.7,0.7,1.9,1.0,2
441,HYDERABAD,RAJAHMUNDRY,1,1,0.4,1.3,0.0,0.0,2
442,HYDERABAD,RANCHI,1,1,8.5,0.7,0.3,0.0,2
443,HYDERABAD,SHIRDI,1,1,8.6,10.5,0.0,0.0,2
444,HYDERABAD,SRINAGAR,1,1,0.0,0.3,0.0,0.0,2
445,HYDERABAD,SURAT,1,1,53.3,37.8,0.4,0.8,2
446,HYDERABAD,TIRUCHIRAPALLY,1,1,0.3,0.0,0.0,0.0,2
447,HYDERABAD,TIRUPATI,3,3,7.2,2.8,0.7,0.0,6
448,HYDERABAD,TRIVANDRUM,1,1,2.8,3.7,0.0,1.7,2
449,HYDERABAD,UDAIPUR,1,1,1.2,0.3,0.0,0.0,2
450,HYDERABAD,VADODARA,1,1,19.9,8.5,0.2,0.7,2
451,HYDERABAD,VARANASI,1,1,6.2,16.4,0.1,0.2,2
452,HYDERABAD,VIJAYAWADA,1,1,3.7,4.4,10.9,1.2,2
453,HYDERABAD,VISAKHAPATNAM,3,3,48.0,108.2,4.4,0.0,6
454,IMPHAL,KOLKATA,2,2,26.3,175.3,1.0,11.3,4
455,IMPHAL,MUMBAI,1,1,10.3,0.4,0.0,0.0,2
456,IMPHAL,SHILLONG,1,1,0.0,0.0,0.0,0.0,2
457,INDORE,JABALPUR,1,1,0.0,0.0,0.0,0.0,2
458,INDORE,JAIPUR,1,1,0.0,0.1,0.0,0.0,2
459,INDORE,JAMMU,1,1,0.0,0.0,0.0,0.0,2
460,INDORE,JODHPUR,1,1,0.0,0.0,0.0,0.0,2
461,INDORE,KOLKATA,1,1,12.3,10.6,1.4,0.4,2
462,INDORE,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
463,INDORE,MUMBAI,2,2,115.1,89.1,5.9,16.1,4
464,INDORE,NAGPUR,1,1,0.0,0.1,0.6,0.0,2
465,INDORE,PUNE,1,1,6.0,11.2,0.8,1.0,2
466,INDORE,RAIPUR,1,1,7.4,2.7,0.8,1.7,2
467,INDORE,SURAT,1,1,0.0,0.0,0.0,0.0,2
468,JABALPUR,MUMBAI,1,1,7.5,8.7,0.0,0.0,2
469,JABALPUR,PUNE,1,1,0.2,0.0,0.0,0.0,2
470,JAGDALPUR,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
471,JAIPUR,JAISALMER,1,1,0.0,0.0,0.0,0.0,2
472,JAIPUR,KOLKATA,2,2,146.0,58.7,2.1,2.1,4
473,JAIPUR,LUCKNOW,1,1,0.0,0.0,0.0,0.0,2
474,JAIPUR,MUMBAI,4,4,146.1,197.0,8.4,24.4,8
475,JAIPUR,PATNA,1,1,0.1,0.0,0.0,0.0,2
476,JAIPUR,PUNE,1,1,18.1,109.1,0.0,0.0,2
477,JAIPUR,SURAT,1,1,2.7,6.7,0.0,0.0,2
478,JAIPUR,UDAIPUR,1,1,0.0,0.0,0.0,0.0,2
479,JAIPUR,VADODARA,1,1,0.0,0.0,0.0,0.0,2
480,JAIPUR,VARANASI,1,1,0.6,0.0,0.0,0.0,2
481,JAISALMER,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
484,JAMMU,LEH,1,1,21.4,0.1,0.0,0.0,2
485,JAMMU,MUMBAI,1,1,0.2,14.9,0.0,2.0,2
486,JAMMU,SRINAGAR,3,2,13.7,8.9,1.3,3.1,5
487,JAMMU,VARANASI,1,1,0.0,0.0,0.0,0.0,2
488,JAMNAGAR,MUMBAI,1,1,0.0,0.9,0.0,0.0,2
489,JHARSUGUDA,KOLKATA,1,1,0.7,0.4,0.0,0.0,2
490,JHARSUGUDA,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
491,JODHPUR,KOLKATA,1,1,0.3,0.0,0.0,0.0,2
492,JODHPUR,MUMBAI,2,2,0.2,3.0,0.0,5.2,4
493,JORHAT,KOLKATA,1,1,0.4,2.1,0.0,0.0,2
494,KADAPA,VIJAYAWADA,1,1,0.0,0.0,0.0,0.0,2
495,KADAPA,VISAKHAPATNAM,1,1,0.0,0.0,0.0,0.0,2
496,"KALABURAGI, KARNATAKA",TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
497,KANDLA,MUMBAI,1,1,0.0,0.0,0.0,0.0,2
498,KANNUR,KOCHI,1,1,0.0,0.1,0.0,0.0,2
499,KANNUR,KOZHIKODE,1,1,0.0,0.0,0.0,0.0,2
500,KANNUR,MUMBAI,1,1,3.8,4.7,0.0,0.0,2
501,KANNUR,TRIVANDRUM,1,1,0.0,0.2,0.0,0.0,2
502,KANPUR,MUMBAI,1,1,0.0,13.8,0.0,0.0,2
503,KOCHI,KOLKATA,1,1,23.4,12.2,0.9,0.3,2
504,KOCHI,MUMBAI,3,3,59.1,213.2,7.3,41.2,6
505,KOCHI,MYSORE,1,1,0.0,0.0,0.0,0.0,2
506,KOCHI,PUNE,1,1,7.7,15.7,0.0,0.0,2
508,KOCHI,RANCHI,1,1,0.9,0.0,0.0,0.0,2
509,KOCHI,TRIVANDRUM,1,1,0.0,0.0,0.0,0.0,2
511,KOLHAPUR,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
512,KOLKATA,LILABARI,1,1,0.6,0.1,0.0,0.0,2
513,KOLKATA,LUCKNOW,1,1,58.8,29.1,8.8,2.9,2
514,KOLKATA,MANGALORE,1,1,0.0,0.0,0.0,0.0,2
515,KOLKATA,MUMBAI,6,6,407.9,562.5,19.4,26.3,12
516,KOLKATA,NAGPUR,1,1,2.7,3.8,0.0,0.0,2
517,KOLKATA,PAKYONG,1,1,0.0,0.0,0.0,0.0,2
519,KOLKATA,PATNA,1,1,38.6,8.8,12.9,2.9,2
520,KOLKATA,PORT BLAIR,2,2,91.0,62.3,22.3,0.0,4
521,KOLKATA,PUNE,1,1,36.1,61.2,0.2,0.7,2
522,KOLKATA,RAIPUR,1,1,12.4,2.2,0.3,3.2,2
523,KOLKATA,RANCHI,1,1,0.8,0.0,0.0,0.0,2
524,KOLKATA,RUPSI,1,1,0.0,0.0,0.0,0.0,2
525,KOLKATA,SHILLONG,1,1,0.5,0.1,0.0,0.0,2
526,KOLKATA,SILCHAR,1,1,104.2,0.0,1.9,0.0,2
527,KOLKATA,SRINAGAR,1,1,0.8,0.3,0.0,0.0,2
528,KOLKATA,SURAT,1,1,12.8,49.9,0.0,0.0,2
530,KOLKATA,TRIVANDRUM,1,1,0.0,0.0,0.0,0.0,2
531,KOLKATA,UDAIPUR,1,1,0.0,0.0,0.0,0.0,2
532,KOLKATA,VARANASI,1,1,3.2,6.4,0.8,0.1,2
533,KOLKATA,VISAKHAPATNAM,1,1,4.2,90.6,0.0,0.0,2
534,KOLKATA,Kushinagar International Airport,1,1,0.0,0.0,0.0,0.0,2
535,KOZHIKODE,MUMBAI,1,1,0.1,17.8,0.0,1.3,2
536,KURNOOL,VISAKHAPATNAM,1,1,0.0,0.0,0.0,0.0,2
537,LEH,SRINAGAR,1,1,8.3,2.1,0.0,0.0,2
538,LUCKNOW,MUMBAI,3,3,69.9,176.5,4.8,15.6,6
539,LUCKNOW,NAGPUR,1,1,0.0,0.0,0.0,0.0,2
540,LUCKNOW,PATNA,1,1,4.3,0.8,2.0,1.9,2
541,LUCKNOW,PUNE,1,1,32.2,25.3,0.0,1.7,2
542,LUCKNOW,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
543,LUCKNOW,RANCHI,1,1,3.0,0.9,0.0,0.0,2
544,LUCKNOW,SRINAGAR,1,1,0.0,0.1,0.0,0.0,2
545,LUCKNOW,UDAIPUR,1,1,0.0,0.0,0.0,0.0,2
547,MADURAI,MUMBAI,1,1,9.0,7.4,0.0,0.2,2
548,MADURAI,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
549,MADURAI,VIJAYAWADA,1,1,0.0,0.0,0.0,0.0,2
550,MANGALORE,MUMBAI,2,2,2.6,6.0,0.0,3.8,4
551,MANGALORE,PUNE,1,1,0.0,0.0,0.0,0.0,2
553,MUMBAI,NAGPUR,3,4,148.2,112.9,32.0,1.0,7
554,MUMBAI,NANDED,1,1,0.0,0.0,0.0,0.0,2
555,MUMBAI,PATNA,2,2,171.3,18.7,17.4,2.3,4
556,MUMBAI,PORBANDAR,1,1,0.0,0.0,0.0,0.0,2
558,MUMBAI,PUNE,1,1,0.0,0.0,0.0,0.0,2
559,MUMBAI,RAIPUR,2,2,93.1,28.2,18.6,0.4,4
560,MUMBAI,RAJKOT,2,2,5.3,3.6,3.6,0.0,4
561,MUMBAI,RANCHI,2,2,95.6,10.8,12.9,3.2,4
562,MUMBAI,SILCHAR,1,1,0.0,0.0,0.0,0.0,2
563,MUMBAI,SRINAGAR,1,2,26.9,29.1,2.2,1.4,3
564,MUMBAI,SURAT,1,1,3.3,7.5,0.0,0.0,2
565,MUMBAI,TIRUPATI,1,1,3.7,1.5,0.0,0.0,2
566,MUMBAI,TRIVANDRUM,1,1,14.2,13.1,4.9,4.2,2
567,MUMBAI,UDAIPUR,2,2,8.5,0.4,0.0,0.0,4
568,MUMBAI,VADODARA,2,2,8.0,9.5,0.0,1.1,4
569,MUMBAI,VARANASI,3,3,83.1,22.8,7.3,0.9,6
570,MUMBAI,VISAKHAPATNAM,1,1,14.9,48.9,2.7,0.0,2
571,MUMBAI,Sindhudurg Airport,1,1,0.0,0.0,0.0,0.0,2
572,NAGPUR,PUNE,2,2,12.7,45.1,2.6,2.8,4
573,NAGPUR,RAIPUR,1,1,0.0,0.0,0.0,0.0,2
574,NASIK,PUNE,1,1,0.0,0.0,0.0,0.0,2
575,PASIGHAT,TEZPUR,1,1,0.0,0.0,0.0,0.0,2
576,PATNA,PUNE,1,1,1.1,7.7,0.0,0.0,2
577,PATNA,RANCHI,1,1,0.1,0.2,0.0,0.0,2
578,PATNA,VARANASI,1,1,0.0,0.0,0.0,0.0,2
579,PORT BLAIR,VISAKHAPATNAM,1,1,0.3,0.5,0.0,0.0,2
580,PUNE,RAIPUR,1,1,0.7,0.3,0.4,0.0,2
581,PUNE,RANCHI,1,1,2.5,0.4,0.0,0.0,2
582,PUNE,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
583,PUNE,TRIVANDRUM,1,1,0.2,0.0,0.0,0.0,2
584,PUNE,VISAKHAPATNAM,1,1,0.1,3.7,0.0,0.0,2
585,RAIPUR,SRINAGAR,1,1,0.0,0.0,0.0,0.0,2
586,RAIPUR,TRIVANDRUM,1,1,0.0,0.0,0.0,0.0,2
588,RAJAHMUNDRY,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
589,RAJAHMUNDRY,VISAKHAPATNAM,1,1,0.0,0.1,0.0,0.0,2
590,SHILLONG,SILCHAR,1,1,0.0,0.0,0.0,0.0,2
591,SHIRDI,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
593,TIRUCHIRAPALLY,TIRUPATI,1,1,0.0,0.0,0.0,0.0,2
