date,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,late_aircraft_ct,arr_cancelled,arr_delay,carrier_delay,weather_delay,nas_delay,late_aircraft_delay,total_delayed_flights
2018-2,G4,Allegiant Air,GRR,"Grand Rapids, MI: Gerald R. Ford International",95,15,7,0,6,2,0,564,375,0,123,66,30
2018-2,G4,Allegiant Air,GSO,"Greensboro/High Point, NC: Piedmont Triad International",16,5,2,0,0,3,0,249,154,0,5,90,10
2018-2,G4,Allegiant Air,GSP,"Greer, SC: Greenville-Spartanburg International",24,5,2,0,1,2,0,402,221,0,30,151,10
2018-2,G4,Allegiant Air,GTF,"Great Falls, MT: Great Falls International",19,2,2,0,0,0,0,76,67,0,9,0,4
2018-2,G4,Allegiant Air,HGR,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",8,3,1,0,0,2,0,106,40,0,1,65,6
2018-2,G4,Allegiant Air,HTS,"Ashland, WV: Tri-State/Milton J. Ferguson Field",22,1,0,0,0,1,0,55,14,0,0,41,2
2018-2,G4,Allegiant Air,IAG,"Niagara Falls, NY: Niagara Falls International",44,5,3,0,0,2,0,632,554,0,0,78,10
2018-2,G4,Allegiant Air,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",16,3,3,0,0,0,0,110,110,0,0,0,6
2018-2,G4,Allegiant Air,IDA,"Idaho Falls, ID: Idaho Falls Regional",18,1,0,0,0,1,0,34,0,0,3,31,2
2018-2,G4,Allegiant Air,IND,"Indianapolis, IN: Indianapolis International",131,33,15,0,2,16,0,2349,850,0,84,1415,66
2018-2,G4,Allegiant Air,JAX,"Jacksonville, FL: Jacksonville International",42,10,3,1,3,2,0,514,296,23,100,95,19
2018-2,G4,Allegiant Air,LAS,"Las Vegas, NV: McCarran International",657,168,36,8,46,77,1,13819,4496,774,2352,6176,335
2018-2,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",100,42,8,2,17,15,3,2310,585,212,613,900,84
2018-2,G4,Allegiant Air,LCK,"Columbus, OH: Rickenbacker International",65,5,1,0,1,2,0,163,22,0,27,88,9
2018-2,G4,Allegiant Air,LEX,"Lexington, KY: Blue Grass",60,12,5,0,1,6,0,1185,679,0,256,250,24
2018-2,G4,Allegiant Air,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",8,0,0,0,0,0,0,0,0,0,0,0,0
2018-2,G4,Allegiant Air,LRD,"Laredo, TX: Laredo International",8,1,1,0,0,0,0,123,123,0,0,0,2
2018-2,G4,Allegiant Air,MCI,"Kansas City, MO: Kansas City International",33,5,3,0,1,2,0,216,149,0,14,53,11
2018-2,G4,Allegiant Air,MDT,"Harrisburg, PA: Harrisburg International",38,4,1,0,0,2,0,221,43,0,5,173,7
2018-2,G4,Allegiant Air,MEM,"Memphis, TN: Memphis International",52,8,4,0,1,3,0,662,402,0,18,242,16
2018-2,G4,Allegiant Air,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",19,3,1,0,2,0,0,84,45,0,39,0,6
2018-2,G4,Allegiant Air,MFR,"Medford, OR: Rogue Valley International - Medford",18,7,1,0,1,5,0,268,82,0,23,163,14
2018-2,G4,Allegiant Air,MKE,"Milwaukee, WI: General Mitchell International",41,3,1,0,0,2,0,367,171,0,20,176,6
2018-2,G4,Allegiant Air,MLI,"Moline, IL: Quad City International",40,5,3,1,0,1,0,432,136,58,0,238,10
2018-2,G4,Allegiant Air,MOT,"Minot, ND: Minot International",25,4,4,0,0,0,0,207,206,0,1,0,8
2018-2,G4,Allegiant Air,MRY,"Monterey, CA: Monterey Regional",8,2,1,0,0,1,0,160,132,0,10,18,4
2018-2,G4,Allegiant Air,MSO,"Missoula, MT: Missoula International",16,2,2,0,0,0,0,56,47,0,9,0,4
2018-2,G4,Allegiant Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",68,21,6,1,6,7,1,886,283,13,148,431,41
2018-2,G4,Allegiant Air,MTJ,"Montrose/Delta, CO: Montrose Regional",8,1,1,0,0,0,0,37,37,0,0,0,2
2018-2,G4,Allegiant Air,OAK,"Oakland, CA: Metropolitan Oakland International",52,5,1,1,0,3,0,549,88,166,0,295,10
2018-2,G4,Allegiant Air,OGD,"Ogden, UT: Ogden-Hinckley",16,1,0,0,0,1,0,101,17,0,19,65,2
2018-2,G4,Allegiant Air,OGS,"Ogdensburg, NY: Ogdensburg International",16,3,1,2,0,0,1,479,15,454,10,0,6
2018-2,G4,Allegiant Air,OKC,"Oklahoma City, OK: Will Rogers World",12,2,1,1,0,0,0,95,40,39,10,6,4
2018-2,G4,Allegiant Air,OMA,"Omaha, NE: Eppley Airfield",40,5,2,0,2,1,0,208,125,0,56,27,10
2018-2,G4,Allegiant Air,ORF,"Norfolk, VA: Norfolk International",24,7,3,0,1,2,0,526,357,0,44,125,13
2018-2,G4,Allegiant Air,OWB,"Owensboro, KY: Owensboro Daviess County Regional",8,3,2,0,0,1,0,88,68,0,0,20,6
2018-2,G4,Allegiant Air,PBG,"Plattsburgh, NY: Plattsburgh International",51,4,3,0,1,0,0,161,130,0,31,0,8
2018-2,G4,Allegiant Air,PGD,"Punta Gorda, FL: Punta Gorda Airport",459,121,29,5,38,49,1,10164,2333,657,1610,5564,242
2018-2,G4,Allegiant Air,PIA,"Peoria, IL: General Downing - Peoria International",52,7,4,1,1,1,0,667,502,65,18,82,14
2018-2,G4,Allegiant Air,PIE,"St. Petersburg, FL: St Pete Clearwater International",581,107,17,0,38,50,3,8940,2177,19,1360,5364,212
2018-2,G4,Allegiant Air,PIT,"Pittsburgh, PA: Pittsburgh International",74,14,4,0,0,9,0,611,299,0,8,304,27
2018-2,G4,Allegiant Air,PSC,"Pasco/Kennewick/Richland, WA: Tri Cities",16,3,1,0,0,2,0,334,155,0,0,179,6
2018-2,G4,Allegiant Air,PSM,"Portsmouth, NH: Portsmouth International at Pease",26,4,1,1,1,0,0,553,446,60,21,0,7
2018-2,G4,Allegiant Air,PSP,"Palm Springs, CA: Palm Springs International",16,1,0,1,0,0,0,20,0,12,8,0,2
2018-2,G4,Allegiant Air,PVD,"Providence, RI: Theodore Francis Green State",24,3,3,0,0,0,0,414,414,0,0,0,6
2018-2,G4,Allegiant Air,PVU,"Provo, UT: Provo Municipal",43,5,1,0,2,2,4,130,18,0,47,65,10
2018-2,G4,Allegiant Air,RAP,"Rapid City, SD: Rapid City Regional",20,4,3,0,0,1,0,218,146,0,0,72,8
2018-2,G4,Allegiant Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",45,12,5,0,2,5,0,911,271,0,64,576,24
2018-2,G4,Allegiant Air,RFD,"Rockford, IL: Chicago/Rockford International",54,6,1,0,2,3,0,250,43,0,93,114,12
2018-2,G4,Allegiant Air,RIC,"Richmond, VA: Richmond International",17,2,1,1,0,0,0,75,47,28,0,0,4
2018-2,G4,Allegiant Air,RNO,"Reno, NV: Reno/Tahoe International",22,4,2,0,1,1,0,137,49,0,54,34,8
2018-2,G4,Allegiant Air,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",16,2,1,0,0,1,0,34,19,0,0,15,4
2018-2,G4,Allegiant Air,ROC,"Rochester, NY: Greater Rochester International",16,3,1,1,1,0,0,446,41,338,36,31,6
2018-2,G4,Allegiant Air,SAN,"San Diego, CA: San Diego International",8,1,0,0,0,1,0,17,0,2,0,15,2
